Date,SalesRep,Region,Product,Color,Units,Revenue,,,,,,,,,,,,
42339,Nabil,West,Bellen,Rainbow,1,25.95,,,,,,,,,,,,
42340,Jessica,South,Carlota,Rainbow,2,48.9,,,,,,,,,,,,
42340,Julie,West,Bellen,Purple,1,25.95,,,,,,,,,,,,
42340,Julie,East,Quad,Blue,20,611,,,,,,,,,,,,
42340,Mike,East,Sunshine,Red,1,21.95,,,,,,,,,,,,
42341,Julie,East,Bellen,Blue,1,25.95,,,,,,,,,,,,
42341,Nabil,South,Sunshine,Clear,3,62.85,,,,,,,,,,,,
42341,Julie,West,Sunshine,Blue,2,42.9,,,,,,,,,,,,
42342,Adam,East,Sunbell,Red,1,27,,,,,,,,,,,,
42342,Mike,East,Sunbell,Red,2,51,,,,,,,,,,,,
42342,Adam,West,Sunbell,Red,22,504.6,,,,,,,,,,,,
42343,Mike,West,Bellen,Red,1,25.95,,,,,,,,,,,,
42343,Nicole,East,Quad,Red,3,102,,,,,,,,,,,,
42343,Mike,West,Quad,Clear,3,102,,,,,,,,,,,,
42344,Jessica,West,Bellen,Red,2,48.9,,,,,,,,,,,,
42344,Jessica,West,Sunbell,Clear,1,28,,,,,,,,,,,,
42344,Julie,West,Quad,Clear,3,105,,,,,,,,,,,,
42344,Adam,East,Carlota,Purple,1,24.95,,,,,,,,,,,,
42344,Julie,West,Aspen,Clear,2,53,,,,,,,,,,,,
42344,Mike,South,Sunbell,Blue,2,51,,,,,,,,,,,,
42344,Mike,East,Quad,Clear,1,36,,,,,,,,,,,,
42344,Adam,West,Sunshine,Rainbow,3,62.85,,,,,,,,,,,,
42344,Adam,West,Bellen,Blue,2,48.9,,,,,,,,,,,,
42344,Julie,West,Sunbell,Rainbow,1,27,,,,,,,,,,,,
42344,Adam,East,Quad,Blue,3,99,,,,,,,,,,,,
42344,Nabil,West,Bellen,Blue,2,48.9,,,,,,,,,,,,
42344,Julie,West,Quad,Purple,3,60,,,,,,,,,,,,
42345,Nabil,West,Quad,Clear,1,37,,,,,,,,,,,,
42345,Adam,West,Bellen,Red,3,71.85,,,,,,,,,,,,
42346,Adam,West,Bellen,Purple,1,33,,,,,,,,,,,,
42346,Julie,West,Aspen,Purple,2,45,,,,,,,,,,,,
42346,Jessica,South,Carlota,Clear,1,25.95,,,,,,,,,,,,
42346,Julie,West,Sunbell,Red,1,28,,,,,,,,,,,,
42347,Adam,West,Sunshine,Clear,3,62.85,,,,,,,,,,,,
42347,Jessica,West,Quad,Purple,1,22,,,,,,,,,,,,
42347,Mike,West,Doublers,Clear,2,50,,,,,,,,,,,,
42348,Nicole,South,Aspen,Red,2,45,,,,,,,,,,,,
42348,Mike,East,Sunbell,Rainbow,2,58,,,,,,,,,,,,
42348,Adam,East,Sunshine,Clear,3,59.85,,,,,,,,,,,,
42349,Mike,South,Aspen,Clear,3,66,,,,,,,,,,,,
42349,Nicole,South,Carlota,Rainbow,1,25.95,,,,,,,,,,,,
42349,Nicole,West,Doublers,Rainbow,2,162.9,,,,,,,,,,,,
42349,Mike,East,Quad,Blue,3,102,,,,,,,,,,,,
42349,Julie,West,Doublers,Red,1,26.5,,,,,,,,,,,,
42349,Adam,East,Aspen,Rainbow,1,22,,,,,,,,,,,,
42349,Adam,West,Doublers,Blue,3,73.5,,,,,,,,,,,,
42349,Nicole,West,Quad,Blue,1,37,,,,,,,,,,,,
42350,Nabil,East,Quad,Clear,1,35,,,,,,,,,,,,
42350,Mike,East,Bellen,Blue,1,31,,,,,,,,,,,,
42350,Nabil,South,Bellen,Red,1,25.95,,,,,,,,,,,,
42350,Julie,South,Carlota,Clear,3,71.85,,,,,,,,,,,,
42351,Julie,East,Sunbell,Rainbow,4,99,,,,,,,,,,,,
42351,Nicole,West,Carlota,Clear,2,48.9,,,,,,,,,,,,
42351,Nabil,West,Carlota,Rainbow,2,48.9,,,,,,,,,,,,
42351,Adam,West,Quad,Rainbow,1,37,,,,,,,,,,,,
42351,Nabil,West,Sunbell,Clear,1,28,,,,,,,,,,,,
42351,Mike,East,Doublers,Rainbow,3,230.85,,,,,,,,,,,,
42351,Jessica,West,Doublers,Blue,12,914.4,,,,,,,,,,,,
42352,Mike,South,Sunbell,Red,3,78,,,,,,,,,,,,
42352,Julie,East,Sunbell,Red,2,51,,,,,,,,,,,,
42352,Mike,South,Quad,Red,1,36,,,,,,,,,,,,
42352,Nabil,West,Bellen,Blue,2,48.9,,,,,,,,,,,,
42352,Nabil,West,Quad,Purple,2,39,,,,,,,,,,,,
42352,Nicole,West,Doublers,Rainbow,13,293.29,,,,,,,,,,,,
42353,Mike,West,Quad,Blue,2,39,,,,,,,,,,,,
42353,Jessica,East,Sunbell,Rainbow,3,85.5,,,,,,,,,,,,
42354,Mike,East,Doublers,Blue,1,78.95,,,,,,,,,,,,
42354,Nabil,South,Doublers,Blue,3,73.5,,,,,,,,,,,,
42354,Jessica,West,Sunshine,Rainbow,2,42.9,,,,,,,,,,,,
42354,Nabil,West,Carlota,Clear,4,94.8,,,,,,,,,,,,
42354,Jessica,East,Quad,Rainbow,3,99,,,,,,,,,,,,
42354,Nabil,East,Doublers,Rainbow,3,70.5,,,,,,,,,,,,
42354,Jessica,South,Bellen,Red,18,498.9,,,,,,,,,,,,
42354,Mike,South,Sunshine,Purple,4,82.8,,,,,,,,,,,,
42354,Jessica,West,Aspen,Red,3,75,,,,,,,,,,,,
42355,Mike,East,Sunbell,Rainbow,1,29.5,,,,,,,,,,,,
42355,Nicole,South,Quad,Rainbow,4,135,,,,,,,,,,,,
42355,Adam,West,Quad,Rainbow,1,22,,,,,,,,,,,,
42356,Nicole,South,Sunshine,Rainbow,3,62.85,,,,,,,,,,,,
42356,Mike,West,Carlota,Blue,3,71.85,,,,,,,,,,,,
42356,Jessica,East,Carlota,Purple,1,24.95,,,,,,,,,,,,
42357,Jessica,East,Bellen,Purple,4,90.8,,,,,,,,,,,,
42357,Nicole,West,Bellen,Purple,3,93,,,,,,,,,,,,
42357,Julie,West,Quad,Clear,1,21,,,,,,,,,,,,
42357,Adam,East,Sunshine,Purple,1,21.95,,,,,,,,,,,,
42357,Julie,South,Bellen,Red,3,71.85,,,,,,,,,,,,
42358,Julie,South,Sunbell,Red,3,78,,,,,,,,,,,,
42358,Adam,East,Aspen,Red,2,51,,,,,,,,,,,,
42358,Julie,West,Sunbell,Red,2,58,,,,,,,,,,,,
42358,Julie,South,Doublers,Rainbow,2,48,,,,,,,,,,,,
42358,Nabil,West,Carlota,Blue,2,48.9,,,,,,,,,,,,
42359,Nabil,West,Quad,Rainbow,2,71,,,,,,,,,,,,
42359,Adam,South,Aspen,Purple,3,75,,,,,,,,,,,,
42359,Mike,West,Aspen,Clear,3,63,,,,,,,,,,,,
42360,Mike,East,Sunshine,Purple,3,59.85,,,,,,,,,,,,
42360,Mike,South,Carlota,Blue,2,48.9,,,,,,,,,,,,
42360,Nicole,South,Sunshine,Rainbow,3,62.85,,,,,,,,,,,,
42360,Julie,West,Bellen,Rainbow,13,286.4,,,,,,,,,,,,
42360,Mike,West,Aspen,Blue,3,75,,,,,,,,,,,,
42360,Julie,West,Sunshine,Rainbow,18,344.1,,,,,,,,,,,,
42361,Mike,East,Sunbell,Red,4,113,,,,,,,,,,,,
42361,Nabil,South,Sunshine,Clear,4,82.8,,,,,,,,,,,,
42362,Jessica,South,Bellen,Blue,17,373.6,,,,,,,,,,,,
42362,Adam,West,Doublers,Blue,4,322.8,,,,,,,,,,,,
42363,Mike,West,Sunshine,Clear,3,62.85,,,,,,,,,,,,
42363,Jessica,West,Carlota,Purple,2,48.9,,,,,,,,,,,,
42363,Julie,South,Sunbell,Rainbow,3,75,,,,,,,,,,,,
42364,Nicole,West,Quad,Red,2,71,,,,,,,,,,,,
42364,Nabil,South,Sunbell,Blue,3,82.5,,,,,,,,,,,,
42364,Jessica,East,Bellen,Blue,1,24.95,,,,,,,,,,,,
42364,Mike,South,Aspen,Clear,3,75,,,,,,,,,,,,
42364,Adam,West,Doublers,Purple,1,26.5,,,,,,,,,,,,
42365,Jessica,West,Aspen,Clear,1,24,,,,,,,,,,,,
42365,Julie,East,Doublers,Rainbow,3,70.5,,,,,,,,,,,,
42365,Nabil,South,Aspen,Blue,13,250,,,,,,,,,,,,
42365,Mike,West,Aspen,Blue,16,322.2,,,,,,,,,,,,
42366,Nicole,West,Sunbell,Rainbow,3,85.5,,,,,,,,,,,,
42366,Julie,East,Sunshine,Clear,3,59.85,,,,,,,,,,,,
42366,Jessica,East,Carlota,Clear,4,94.8,,,,,,,,,,,,
42366,Mike,West,Quad,Red,3,60,,,,,,,,,,,,
42366,Julie,South,Bellen,Rainbow,1,25.95,,,,,,,,,,,,
42367,Nicole,South,Sunbell,Red,1,28,,,,,,,,,,,,
42367,Nicole,West,Sunbell,Blue,1,27,,,,,,,,,,,,
42367,Adam,East,Doublers,Red,2,48,,,,,,,,,,,,
42367,Nabil,South,Bellen,Blue,2,48.9,,,,,,,,,,,,
42367,Julie,West,Sunshine,Purple,3,62.85,,,,,,,,,,,,
42367,Nabil,South,Bellen,Blue,3,90,,,,,,,,,,,,
42368,Mike,East,Sunbell,Red,3,75,,,,,,,,,,,,
42369,Mike,South,Quad,Clear,2,39,,,,,,,,,,,,
42369,Nabil,South,Aspen,Red,1,23,,,,,,,,,,,,
42369,Mike,South,Quad,Red,3,102,,,,,,,,,,,,
42369,Julie,South,Sunbell,Purple,2,56,,,,,,,,,,,,
42369,Mike,South,Carlota,Clear,2,48.9,,,,,,,,,,,,
42369,Mike,West,Quad,Red,1,37,,,,,,,,,,,,
42369,Adam,East,Aspen,Blue,20,440,,,,,,,,,,,,
42370,Mike,East,Carlota,Red,1,25.95,,,,,,,,,,,,
42370,Julie,West,Carlota,Rainbow,2,48.9,,,,,,,,,,,,
42370,Mike,West,Quad,Rainbow,3,60,,,,,,,,,,,,
42370,Julie,East,Carlota,Rainbow,2,46.9,,,,,,,,,,,,
42370,Mike,West,Sunbell,Clear,2,51,,,,,,,,,,,,
42370,Mike,West,Doublers,Rainbow,2,162.9,,,,,,,,,,,,
42371,Mike,South,Doublers,Rainbow,2,158.9,,,,,,,,,,,,
42371,Adam,West,Aspen,Clear,1,24,,,,,,,,,,,,
42371,Mike,South,Bellen,Blue,24,664.2,,,,,,,,,,,,
42371,Nabil,South,Quad,Red,2,69,,,,,,,,,,,,
42371,Nicole,West,Carlota,Blue,2,48.9,,,,,,,,,,,,
42371,Jessica,West,Sunshine,Red,3,62.85,,,,,,,,,,,,
42375,Nicole,West,Bellen,Blue,2,63,,,,,,,,,,,,
42375,Mike,East,Aspen,Clear,1,22,,,,,,,,,,,,
42375,Jessica,South,Bellen,Purple,1,32,,,,,,,,,,,,
42375,Mike,South,Bellen,Blue,24,664.2,,,,,,,,,,,,
42375,Nicole,East,Quad,Red,1,36,,,,,,,,,,,,
42376,Nicole,East,Sunbell,Clear,3,72,,,,,,,,,,,,
42376,Adam,West,Sunshine,Red,1,22.95,,,,,,,,,,,,
42377,Mike,East,Quad,Red,2,69,,,,,,,,,,,,
42377,Nabil,West,Bellen,Blue,3,71.85,,,,,,,,,,,,
42377,Jessica,East,Sunshine,Clear,2,40.9,,,,,,,,,,,,
42377,Mike,East,Quad,Red,4,135,,,,,,,,,,,,
42377,Nabil,West,Sunbell,Red,2,53,,,,,,,,,,,,
42377,Nabil,South,Doublers,Purple,2,48,,,,,,,,,,,,
42377,Mike,West,Quad,Clear,1,22,,,,,,,,,,,,
42378,Mike,West,Quad,Clear,2,71,,,,,,,,,,,,
42378,Nicole,West,Sunbell,Rainbow,1,30.5,,,,,,,,,,,,
42378,Julie,South,Sunshine,Clear,2,42.9,,,,,,,,,,,,
42378,Nabil,West,Sunshine,Red,1,22.95,,,,,,,,,,,,
42378,Julie,West,Bellen,Purple,10,232.5,,,,,,,,,,,,
42378,Mike,West,Quad,Rainbow,2,69,,,,,,,,,,,,
42378,Mike,East,Bellen,Red,3,68.85,,,,,,,,,,,,
42379,Mike,South,Aspen,Clear,3,63,,,,,,,,,,,,
42379,Nicole,South,Quad,Red,2,69,,,,,,,,,,,,
42379,Nabil,East,Carlota,Clear,3,71.85,,,,,,,,,,,,
42379,Jessica,West,Quad,Red,3,105,,,,,,,,,,,,
42380,Adam,West,Quad,Red,2,39,,,,,,,,,,,,
42380,Jessica,West,Sunbell,Red,21,551.73,,,,,,,,,,,,
42380,Julie,South,Doublers,Red,2,48,,,,,,,,,,,,
42380,Julie,East,Doublers,Red,7,534.65,,,,,,,,,,,,
42380,Nicole,West,Carlota,Blue,3,71.85,,,,,,,,,,,,
42381,Julie,South,Sunshine,Clear,16,306.2,,,,,,,,,,,,
42381,Mike,South,Bellen,Red,2,48.9,,,,,,,,,,,,
42381,Julie,West,Aspen,Blue,2,51,,,,,,,,,,,,
42382,Nabil,East,Sunbell,Red,3,72,,,,,,,,,,,,
42382,Julie,West,Aspen,Red,1,28,,,,,,,,,,,,
42382,Julie,West,Bellen,Blue,2,48.9,,,,,,,,,,,,
42382,Adam,South,Bellen,Red,4,119,,,,,,,,,,,,
42382,Jessica,West,Bellen,Red,1,32,,,,,,,,,,,,
42382,Julie,West,Bellen,Rainbow,9,209.55,,,,,,,,,,,,
42383,Julie,West,Quad,Purple,2,71,,,,,,,,,,,,
42383,Adam,East,Sunbell,Rainbow,2,51,,,,,,,,,,,,
42383,Mike,South,Sunbell,Rainbow,3,75,,,,,,,,,,,,
42383,Julie,West,Doublers,Red,2,50,,,,,,,,,,,,
42383,Jessica,West,Sunshine,Red,2,42.9,,,,,,,,,,,,
42383,Julie,West,Bellen,Clear,3,71.85,,,,,,,,,,,,
42384,Julie,East,Carlota,Clear,1,24.95,,,,,,,,,,,,
42384,Nicole,West,Doublers,Clear,2,50,,,,,,,,,,,,
42384,Jessica,South,Doublers,Rainbow,2,48,,,,,,,,,,,,
42384,Adam,West,Quad,Clear,11,358.3,,,,,,,,,,,,
42384,Mike,West,Bellen,Clear,3,90,,,,,,,,,,,,
42385,Nicole,West,Carlota,Rainbow,2,48.9,,,,,,,,,,,,
42385,Jessica,West,Carlota,Red,3,71.85,,,,,,,,,,,,
42385,Mike,East,Doublers,Purple,1,82.95,,,,,,,,,,,,
42385,Adam,South,Sunbell,Clear,1,30.5,,,,,,,,,,,,
42385,Nicole,West,Aspen,Clear,1,28,,,,,,,,,,,,
42385,Mike,West,Quad,Rainbow,3,57,,,,,,,,,,,,
42385,Mike,East,Quad,Rainbow,1,35,,,,,,,,,,,,
42386,Nabil,South,Bellen,Purple,3,71.85,,,,,,,,,,,,
42386,Adam,East,Sunshine,Clear,3,59.85,,,,,,,,,,,,
42386,Julie,West,Quad,Purple,2,71,,,,,,,,,,,,
42387,Nicole,South,Bellen,Purple,2,63,,,,,,,,,,,,
42387,Julie,East,Sunbell,Red,4,95,,,,,,,,,,,,
42387,Nabil,South,Bellen,Blue,2,48.9,,,,,,,,,,,,
42388,Mike,West,Sunshine,Clear,3,62.85,,,,,,,,,,,,
42388,Julie,East,Doublers,Rainbow,2,154.9,,,,,,,,,,,,
42388,Adam,West,Quad,Clear,2,71,,,,,,,,,,,,
42388,Julie,East,Sunshine,Blue,1,22.95,,,,,,,,,,,,
42389,Jessica,South,Quad,Red,2,69,,,,,,,,,,,,
42389,Mike,West,Quad,Rainbow,4,135,,,,,,,,,,,,
42389,Nabil,West,Carlota,Clear,8,186.6,,,,,,,,,,,,
42390,Nabil,East,Quad,Purple,1,35,,,,,,,,,,,,
42390,Adam,East,Aspen,Red,2,41,,,,,,,,,,,,
42390,Nabil,South,Quad,Blue,1,36,,,,,,,,,,,,
42390,Adam,West,Bellen,Rainbow,1,25.95,,,,,,,,,,,,
42391,Nicole,East,Doublers,Red,3,242.85,,,,,,,,,,,,
42391,Nabil,West,Quad,Red,2,71,,,,,,,,,,,,
42391,Nabil,West,Carlota,Red,2,48.9,,,,,,,,,,,,
42391,Julie,East,Sunshine,Blue,2,42.9,,,,,,,,,,,,
42391,Nicole,West,Doublers,Red,1,26.5,,,,,,,,,,,,
42391,Nicole,West,Bellen,Red,1,25.95,,,,,,,,,,,,
42392,Nabil,South,Sunbell,Purple,1,29.5,,,,,,,,,,,,
42392,Jessica,South,Doublers,Clear,2,50,,,,,,,,,,,,
42392,Mike,East,Bellen,Purple,3,71.85,,,,,,,,,,,,
42392,Julie,West,Carlota,Red,1,25.95,,,,,,,,,,,,
42393,Nicole,East,Sunshine,Blue,1,21.95,,,,,,,,,,,,
42394,Mike,East,Carlota,Red,2,46.9,,,,,,,,,,,,
42394,Nicole,West,Quad,Purple,1,37,,,,,,,,,,,,
42394,Julie,South,Bellen,Clear,2,48.9,,,,,,,,,,,,
42394,Julie,South,Aspen,Purple,2,43,,,,,,,,,,,,
42394,Mike,South,Doublers,Rainbow,3,236.85,,,,,,,,,,,,
42395,Mike,South,Aspen,Red,13,299.4,,,,,,,,,,,,
42395,Julie,West,Sunshine,Blue,2,42.9,,,,,,,,,,,,
42395,Nicole,South,Carlota,Red,2,48.9,,,,,,,,,,,,
42395,Mike,East,Carlota,Clear,1,24.95,,,,,,,,,,,,
42395,Adam,East,Bellen,Rainbow,1,32,,,,,,,,,,,,
42395,Julie,West,Bellen,Clear,4,119,,,,,,,,,,,,
42395,Nabil,West,Sunbell,Rainbow,1,28,,,,,,,,,,,,
42395,Adam,East,Aspen,Clear,4,79,,,,,,,,,,,,
42396,Julie,East,Quad,Clear,1,21,,,,,,,,,,,,
42396,Jessica,West,Doublers,Rainbow,3,73.5,,,,,,,,,,,,
42396,Mike,East,Carlota,Purple,3,68.85,,,,,,,,,,,,
42396,Mike,South,Bellen,Clear,1,25.95,,,,,,,,,,,,
42397,Julie,East,Carlota,Red,2,48.9,,,,,,,,,,,,
42397,Adam,East,Bellen,Rainbow,1,24.95,,,,,,,,,,,,
42397,Julie,East,Aspen,Blue,2,43,,,,,,,,,,,,
42397,Mike,East,Sunshine,Clear,4,78.8,,,,,,,,,,,,
42397,Mike,West,Sunbell,Blue,1,27,,,,,,,,,,,,
42398,Nicole,West,Quad,Clear,1,36,,,,,,,,,,,,
42398,Jessica,East,Quad,Blue,3,99,,,,,,,,,,,,
42398,Jessica,South,Aspen,Red,2,51,,,,,,,,,,,,
42398,Jessica,West,Sunbell,Clear,17,406.75,,,,,,,,,,,,
42398,Adam,West,Sunbell,Red,2,53,,,,,,,,,,,,
42398,Nabil,West,Sunbell,Red,3,75,,,,,,,,,,,,
42399,Mike,East,Carlota,Red,1,24.95,,,,,,,,,,,,
42399,Nabil,South,Quad,Blue,3,102,,,,,,,,,,,,
